COUNTRY,YEAR,GENDER,LIFEXP,UNEMPR,INFMOR,GDP,GNI,CLTECH,PERCAP,RTIMOR,TUBINC,DPTIMM,HEPIMM,MEAIMM,HOSBED,SANSER,TUBTRT,URBPOP,RURPOP,NCOMOR,SUIRAT
United Arab Emirates,2019,Male,77.291,1.478999972,6.4,4.17E+11,4.19E+11,100,42701.44305,8.9,0.94,99,98,99,1.668888889,99.14769965,81,86.789,13.211,19.8,8
United Kingdom,2019,Male,79.4,3.924000025,4,2.88E+12,2.86E+12,100,43070.49836,3.2,8,93,93,91,2.46,99.10805979,78,83.652,16.348,12.1,11.8
United States,2019,Male,76.3,3.720999956,6,2.14E+13,2.17E+13,100,65279.52903,12.7,3,94,91,90,3.098888889,99.69599445,75,82.459,17.541,16.1,25
Uruguay,2019,Male,74.119,7.331999779,6.4,61231149881,58270516709,100,17688.01501,14.8,35,94,94,96,2.419166665,97.76780113,73,95.426,4.574,20.6,34.5
Uzbekistan,2019,Male,69.592,6,15.1,59907674027,60644519146,84.599998,1784.009816,11.7,67,96,96,98,4.817333333,100,90,50.433,49.567,29.8,11.3
Vanuatu,2019,Male,68.985,1.970999956,23.3,934521604.6,1008738588,7.8000002,3116.297759,14.9,41,90,90,80,3.149999976,52.68610241,85,25.394,74.606,45.1,28.1
"Venezuela, RB",2019,Male,68.327,4.605000019,22.9,2.45E+11,2.42E+11,97.099998,8759.940468,39,45,64,64,93,0.91888889,95.5779092,81,88.24,11.76,16.9,3.5
Vietnam,2019,Male,71.301,2.068000078,19.1,2.62E+11,2.45E+11,64.699997,2715.27598,30.6,176,89,89,95,2.594166675,87.70813691,91,36.628,63.372,29.1,10.4
Virgin Islands (U.S.),2019,Male,76.4,11.61499977,30.23476623,4068000000,2.04E+12,60.5930232,38136.66576,18.2292142,136.0432114,85.68526614,81.30778501,84.85472701,2.986345617,99.37127753,76.72563552,95.832,4.168,22.09954023,10.61922198
West Bank and Gaza,2019,Male,72.416,21.33099937,15.8,17133500000,20164700000,60.5930232,3656.858271,5.3,0.53,85.68526614,81.30778501,84.85472701,2.986345617,98.10824376,86,76.44,23.56,22.09954023,10.61922198
"Yemen, Rep.",2019,Male,64.443,11.97700024,50.4,24749812134,23509163481,60.900002,1055.050239,29.4,48,73,73,67,0.667222222,53.62693817,85,37.273,62.727,30.6,7
Zambia,2019,Male,60.848,11.98700047,46.6,23308667781,22904080807,15.7,1305.001031,20.5,333,88,88,93,1.966666667,31.48122511,89,44.072,55.928,29.2,12
Zimbabwe,2019,Male,59.798,4.393000126,42.1,19284289739,18896621255,30,1316.740657,41.2,199,90,90,85,2.35,35.77433736,84,32.21,67.79,30.3,20
