COUNTRY,YEAR,GENDER,LIFEXP,UNEMPR,INFMOR,GDP,GNI,CLTECH,PERCAP,RTIMOR,TUBINC,DPTIMM,HEPIMM,MEAIMM,HOSBED,SANSER,TUBTRT,URBPOP,RURPOP,NCOMOR,SUIRAT
Philippines,2019,Female,75.505,2.532000065,19,3.77E+11,4.15E+11,47.400002,3485.340844,12,554,65,65,67,0.989090909,80.8435005,86,47.149,52.851,18.8,1.2
Poland,2019,Female,81.8,3.601999998,3.5,5.97E+11,5.73E+11,100,15732.20313,9.4,15,95,91,93,6.448333333,100,67.47058824,60.037,39.963,11.5,3.1
Portugal,2019,Female,83.5,7.144000053,2.6,2.40E+11,2.34E+11,100,23330.81729,8.2,19,99,98,99,3.463157895,99.60572242,71,65.764,34.236,7,5.7
Puerto Rico,2019,Female,83.498,6.894999981,30.23476623,1.05E+11,70765000000,60.5930232,32850.54861,18.2292142,1.4,85.68526614,81.30778501,84.85472701,2.986345617,100,83,93.576,6.424,22.09954023,10.61922198
Qatar,2019,Female,82.01,0.282999992,4.9,1.76E+11,1.72E+11,100,62276.42869,7.3,35,98,98,99,1.840555556,100,73,99.188,0.812,13.2,1.7
Romania,2019,Female,79.3,3.378999949,5.3,2.50E+11,2.46E+11,100,12899.34611,10.3,66,88,90,90,6.83,86.2498554,84,54.084,45.916,13.6,3.3
Russian Federation,2019,Female,78.17,4.335999966,4.2,1.69E+12,1.63E+12,90.099998,11497.64925,12,50,97,97,98,9.783684211,89.12524936,68,74.587,25.413,15.2,9.1
Rwanda,2019,Female,71.132,1.194000006,28,10355974217,10007994811,1.5,820.1492886,29.4,57,98,98,96,1.633333333,68.8599242,87,17.313,82.687,18.7,3
Samoa,2019,Female,75.464,9.838000298,13.4,852007112.7,816189678.8,35.5,4322.868457,13,11,58,58,87,1.76799999,96.76295103,89,18.056,81.944,29.2,6.7
Sao Tome and Principe,2019,Female,72.814,20.38199997,11.9,427425039.7,425925039.7,3.2,1987.579702,27.9,114,95,95,95,3.1,46.21350475,70,73.598,26.402,20.4,0.8
Saudi Arabia,2019,Female,76.759,21.4489994,6.1,7.93E+11,8.01E+11,100,23139.79798,35.9,9.9,96,97,95,2.296111111,100,90,84.065,15.935,18.4,2
Senegal,2019,Female,69.918,3.039000034,26.2,23306213742,22651165450,24.5,1430.148259,23.5,117,93,93,90,0.2,55.84328428,91,47.653,52.347,19.9,3
Serbia,2019,Female,78.4,11.07400036,4.4,51514222382,48738891691,66.099998,7417.203649,7.5,14,97,94,87,5.503846154,97.89702613,85,56.26,43.74,15.9,6.3
Seychelles,2019,Female,78.4,8.256285193,11.4,1582841059,1523487370,100,16213.48076,11.3,16,99,99,99,4.4,100,57,57.119,42.881,15.1,1.4
Sierra Leone,2019,Female,55.495,3.954999924,75.8,4076578543,4025178583,0.69999999,521.7548367,33,295,95,95,93,0.4,16.18453117,88,42.484,57.516,24.9,5.1
Singapore,2019,Female,85.7,3.328000069,1.8,3.74E+11,3.30E+11,100,65640.70795,2.1,41,96,96,95,2.685000008,100,79,100,0,6.8,7.1
Slovak Republic,2019,Female,80.8,5.952000141,4.3,1.05E+11,1.03E+11,100,19303.54566,6.1,4.5,97,97,96,6.513157895,97.53184793,94,53.729,46.271,10.4,3.4
Slovenia,2019,Female,84.2,4.954999924,1.7,54178877606,53358666620,100,25942.95477,5.1,5.4,95,81.30778501,94,4.724210526,98.09039395,70,54.822,45.178,8,8.3
Solomon Islands,2019,Female,74.866,0.782999992,15.5,1570093229,1553502893,9,2344.048976,16.5,66,94,94,81,1.665,34.49241301,95,24.21,75.79,33.9,1.9
Somalia,2019,Female,59.132,24.37000084,68.8,6476674592,6440983145,3,419.3948077,27.4,258,42,42,46,0.645,38.23090498,92,45.554,54.446,26.7,3.8
South Africa,2019,Female,67.679,30.51399994,24.2,3.88E+11,3.78E+11,86.300003,6624.761865,22.2,615,77,77,72,2.645,77.58447964,79,66.856,33.144,20.4,9.8
South Sudan,2019,Female,59.383,13.24800014,58.5,14080606756,11985338309,0,1432.646141,36.7,227,49,49,49,2.986345617,15.74727802,85,19.899,80.101,16.1,2
Spain,2019,Female,86.2,15.98799992,2.5,1.39E+12,1.40E+12,100,29555.3157,3.9,10,96,96,98,3.200526316,99.90365719,47,80.565,19.435,6.5,4.2
Sri Lanka,2019,Female,80.261,6.952000141,5.5,83990946939,81572699417,31.200001,3852.265603,19.7,64,99,99,99,3.337142857,93.65439649,85,18.585,81.415,9.4,6.2
St. Lucia,2019,Female,77.58,16.94199944,19.6,2118791556,2004342259,96.599998,11591.08048,29.8,3.8,92,92,96,2.179090913,83.37231796,67,18.754,81.246,14.6,1.7
St. Martin (French part),2019,Female,83.2,8.256285193,30.23476623,2.03E+12,2.04E+12,60.5930232,12668.8531,18.2292142,136.0432114,85.68526614,81.30778501,84.85472701,2.986345617,100,76.72563552,55.55873415,44.44126585,22.09954023,10.61922198
St. Vincent and the Grenadines,2019,Female,75.131,18.46899986,12.2,825040740.7,818224259.3,94.199997,7460.153362,7.4,4.2,97,97,99,3.591538462,80.72859467,100,52.614,47.386,18.4,0.6
Sudan,2019,Female,67.187,28.51300049,36.1,26155799325,24535685746,53.200001,610.9278615,26.8,67,93,93,90,1.484444444,36.77826091,83,34.936,65.064,21.4,2.8
Suriname,2019,Female,75.063,11.2130003,14.1,3984483762,3572422609,94.099998,6853.693411,15.3,29,77,77,64,3.194444434,89.24914322,79,66.095,33.905,17.9,11.8
Sweden,2019,Female,84.7,6.954999924,2,5.34E+11,5.49E+11,100,51939.42974,3.1,5.5,98,97,97,2.770526316,99.28733736,61,87.708,12.292,7.1,9.5
Switzerland,2019,Female,85.6,4.709000111,3.3,7.32E+11,7.05E+11,100,85334.51946,2.2,5.4,96,69,95,5.255789474,99.89987367,68,73.849,26.151,6.1,9
Syrian Arab Republic,2019,Female,78.103,19.80900002,16.5,22777882165,21933058465,97.400002,1334.370593,14.9,19,54,54,59,1.466666667,89.79611461,89,54.821,45.179,18.3,0.7
Tajikistan,2019,Female,73.389,5.645999908,25.4,8300784857,9631253672,82,890.5444024,15.7,83,97,97,98,5.572,96.77255849,91,27.309,72.691,25.1,2.8
Tanzania,2019,Female,67.233,2.805999994,32.6,61136873692,61908444374,4.3000002,1085.88486,31.1,237,89,89,88,0.9,31.58598153,93,34.5,65.5,16.8,2
Thailand,2019,Female,80.9,0.736000001,6.9,5.44E+11,5.24E+11,79.5,7817.009671,32.2,150,97,97,96,2.15,98.42052549,85,50.692,49.308,10.5,2.9
Timor-Leste,2019,Female,71.635,5.960000038,34.1,2047931700,2730967258,12.6,1583.713576,11.9,498,83,83,85,5.9,55.69136356,91,30.947,69.053,18.4,2
Togo,2019,Female,61.918,2.819999933,41,7220395248,7242517959,9.3000002,893.3524541,28.7,37,84,84,75,0.8,18.46905629,87,42.248,57.752,21.2,3.9
Tonga,2019,Female,72.887,3.640000105,8.8,512350059.4,553664950,76.400002,4903.012138,33,11,99,99,99,2.650000012,92.9975705,100,23.107,76.893,20.2,2.6
Trinidad and Tobago,2019,Female,76.224,3.411000013,13.7,23208326548,23034393453,100,16637.16294,9.3,18,93,93,99,2.84733334,93.91521101,61,53.187,46.813,14,3.6
Tunisia,2019,Female,78.721,22.18799973,13.1,41804581484,40087702395,99.800003,3574.654024,16.5,35,92,92,95,1.981111111,96.37657143,90,69.254,30.746,12.4,1.9
Turkey,2019,Female,80.563,16.38500023,8,7.61E+11,7.48E+11,95.099998,9121.515167,6.7,16,99,99,97,2.573684211,98.69299276,83,75.63,24.37,10.8,1.2
Turkmenistan,2019,Female,71.717,2.701999903,31.3,45231428571,43575785421,99.900002,7612.03518,13.5,45,99,99,99,4.431333333,99.00213719,83,52.048,47.952,22.3,2.7
Uganda,2019,Female,65.622,2.451999903,29.5,35353060634,34437117591,0.5,798.5857341,29.4,200,93,93,87,0.74,19.66031989,82,24.361,75.639,18.3,1.7
Ukraine,2019,Female,76.98,7.855999947,6.4,1.54E+11,1.56E+11,95.199997,3661.456204,10.2,77,80,76,93,8.794666667,97.74159541,79,69.473,30.527,16,6.5
United Arab Emirates,2019,Female,79.314,5.892000198,5.2,4.17E+11,4.19E+11,100,42701.44305,8.9,0.94,99,98,99,1.668888889,99.14769965,81,86.789,13.211,15.5,3
United Kingdom,2019,Female,83.1,3.53399992,3.3,2.88E+12,2.86E+12,100,43070.49836,3.2,8,93,93,91,2.46,99.10805979,78,83.652,16.348,8.5,4
United States,2019,Female,81.4,3.611000061,5,2.14E+13,2.17E+13,100,65279.52903,12.7,3,94,91,90,3.098888889,99.69599445,75,82.459,17.541,11.1,7.5
Uruguay,2019,Female,81.478,10.67800045,5.1,61231149881,58270516709,100,17688.01501,14.8,35,94,94,96,2.419166665,97.76780113,73,95.426,4.574,12.7,8.9
Uzbekistan,2019,Female,73.829,5.625,11.4,59907674027,60644519146,84.599998,1784.009816,11.7,67,96,96,98,4.817333333,100,90,50.433,49.567,21.2,4.8
Vanuatu,2019,Female,72.154,1.58099997,19.8,934521604.6,1008738588,7.8000002,3116.297759,14.9,41,90,90,80,3.149999976,52.68610241,85,25.394,74.606,33.5,7.6
"Venezuela, RB",2019,Female,76.004,5.998000145,19.2,2.45E+11,2.42E+11,97.099998,8759.940468,39,45,64,64,93,0.91888889,95.5779092,81,88.24,11.76,12.9,0.7
Vietnam,2019,Female,79.523,2.007999897,14.5,2.62E+11,2.45E+11,64.699997,2715.27598,30.6,176,89,89,95,2.594166675,87.70813691,91,36.628,63.372,13.7,4.7
Virgin Islands (U.S.),2019,Female,83.1,13.54300022,30.23476623,4068000000,2.04E+12,60.5930232,38136.66576,18.2292142,136.0432114,85.68526614,81.30778501,84.85472701,2.986345617,99.37127753,76.72563552,95.832,4.168,22.09954023,10.61922198
West Bank and Gaza,2019,Female,75.755,41.15299988,13.4,17133500000,20164700000,60.5930232,3656.858271,5.3,0.53,85.68526614,81.30778501,84.85472701,2.986345617,98.10824376,86,76.44,23.56,22.09954023,10.61922198
"Yemen, Rep.",2019,Female,67.826,25.02700043,42.2,24749812134,23509163481,60.900002,1055.050239,29.4,48,73,73,67,0.667222222,53.62693817,85,37.273,62.727,24.8,4.6
Zambia,2019,Female,66.891,13.08899975,38.9,23308667781,22904080807,15.7,1305.001031,20.5,333,88,88,93,1.966666667,31.48122511,89,44.072,55.928,20.6,2.7
Zimbabwe,2019,Female,62.899,5.248000145,33.8,19284289739,18896621255,30,1316.740657,41.2,199,90,90,85,2.35,35.77433736,84,32.21,67.79,27.1,8.8
Afghanistan,2019,Male,63.382,10.40999985,49.6,18799450743,19098305631,36,494.1793499,15.9,189,66,66,64,0.432222222,49.00616952,91,25.754,74.246,34.4,4.6
Albania,2019,Male,77.002,11.58199978,9.5,15400242875,15198661275,80.699997,5395.659532,11.7,16,99,99,95,3.052307692,99.18306692,88,61.229,38.771,16.7,5.9
Algeria,2019,Male,75.676,8.515999794,21.3,1.72E+11,1.68E+11,99.300003,3989.668276,20.9,61,91,91,80,1.8,86.13850411,86,73.189,26.811,14.9,3.1
Angola,2019,Male,58.416,7.012000084,55.2,89417190341,81900890781,49.599998,2809.626088,26.1,351,57,53,51,0.8,51.39362406,69,66.177,33.823,25.2,10
Antigua and Barbuda,2019,Male,75.858,8.256285193,6,1687533333,1581477852,100,17376.64968,0,0,95,99,93,2.580625,85.52290362,72.26666667,24.506,75.494,17.5,0
Argentina,2019,Male,73.242,9.187000275,9.2,4.52E+11,4.34E+11,99.800003,10056.63794,14.1,29,86,86,94,4.61,91.40773251,47,91.991,8.009,19.7,13.7
Armenia,2019,Male,71.327,17.48399925,11.3,13619291361,13798304657,98.099998,4604.646324,20,26,92,92,95,4.319375,93.85240532,82,63.219,36.781,28,5.6
Aruba,2019,Male,73.768,8.256285193,30.23476623,2517572144,2363285719,60.5930232,24895.8989,18.2292142,2.2,85.68526614,81.30778501,84.85472701,2.986345617,97.84046568,46.5,43.546,56.454,22.09954023,10.61922198
Australia,2019,Male,80.9,5.210999966,3.4,1.39E+12,1.35E+12,100,54875.28596,4.9,6.9,95,95,95,3.86375,99.99115238,86,86.124,13.876,10.4,18.6
Austria,2019,Male,79.5,4.611000061,3.2,4.45E+11,4.43E+11,100,50114.40111,4.9,6,85,85,94,7.650526316,99.97271057,74,58.515,41.485,12.9,22.8
Azerbaijan,2019,Male,70.511,4.031000137,20,48174235294,46318529412,96.699997,4805.753718,6.7,60,94,94,98,7.016,96.12903013,84,56.031,43.969,34.4,6.6
"Bahamas, The",2019,Male,71.659,10.08500004,15.3,13164400000,12542250000,100,33799.41769,7.7,15,86,86,85,3.123750006,94.93058233,75,83.132,16.868,23.6,5.9
Bahrain,2019,Male,76.436,0.509000003,6.2,38652579787,36391941489,100,23551.93009,5.2,12,99,99,99,2.302777778,100,17,89.394,10.606,16.4,12.5
Bangladesh,2019,Male,70.877,3.403000116,27.1,3.03E+11,3.16E+11,23,1855.740094,15.3,221,98,98,97,0.528571429,52.69870337,95,37.405,62.595,21.2,5.7
Barbados,2019,Male,77.814,9.526000023,12.8,5209000000,5030074650,100,18148.49785,8.2,0,90,90,92,6.571538462,98.09246231,99.36363636,31.158,68.842,17.5,0.9
Belarus,2019,Male,69.3,5.098999977,2.6,64409647194,62499323071,98.900002,6837.717826,7.6,29,98,97,98,11.384,97.88502524,89,79.044,20.956,35.7,36.7
Belgium,2019,Male,79.6,5.728000164,3.8,5.35E+11,5.40E+11,100,46591.49161,5.8,8.9,98,97,96,5.58,99.48615574,81,98.041,1.959,13,24.9
Belize,2019,Male,71.65,4.702000141,11.5,1982518541,1819068541,82.400002,5078.809944,22.6,27,98,98,96,1.21933333,88.19850332,66,45.866,54.134,18.5,12.5
Benin,2019,Male,60.201,1.228000045,63.4,14391686633,14248202201,4,1219.515506,26.8,55,76,76,71,0.5,16.51526543,89,47.861,52.139,24.5,11.8
